Umur (minggu),Perusahaan,Jenis,Konsumsi (g/hari),Konsumsi (g/minggu),Konsumsi/(BB^0.75) (g/minggu),Bobot badan (g),Bobot badan^0.75 (g),Konsumsi Kalsium/BB^0.75 (g/minggu),Konsumsi fosfor tersedia/BB^0.75 (g/minggu),Konsumsi fosfor/BB^0.75 (g/minggu)
1,Aviagen,Ranger premium,31,217,63.54,136,39.82,0.64,0.64,0.48
2,Aviagen,Ranger premium,40,280,67.56,295,71.18,0.68,0.3,0.51
3,Aviagen,Ranger premium,48,336,98.39,477,39.82,0.98,0.44,0.74
4,Aviagen,Ranger premium,50,350,84.45,681,71.18,0.84,0.38,0.63
5,Aviagen,Ranger premium,54,378,80.88,840,102.07,0.81,0.36,0.61
6,Aviagen,Ranger premium,62,434,84.96,953,133.31,0.76,0.38,0.59
7,Aviagen,Ranger premium,64,448,83.22,1067,156.03,0.75,0.37,0.58
8,Aviagen,Ranger premium,67,469,84.41,1180,171.52,0.76,0.38,0.59
9,Aviagen,Ranger premium,69,483,84.51,1294,186.69,0.76,0.38,0.59
10,Aviagen,Ranger premium,72,504,85.99,1407,201.33,0.77,0.39,0.6
11,Aviagen,Ranger premium,74,518,86.37,1521,215.75,0.78,0.39,0.6
12,Aviagen,Ranger premium,76,553,90.29,1634,229.73,0.81,0.41,0.63
13,Aviagen,Ranger premium,79,567,89.18,1771,257,0.8,0.4,0.62
14,Aviagen,Ranger premium,81,588,90.64,2043,273,0.82,0.41,0.63
15,Aviagen,Ranger premium,84,581,86.42,2179,303.88,0.78,0.39,0.6
16,Aviagen,Ranger premium,83,595,87.09,2361,318.93,1.05,0.37,0.51
17,Aviagen,Ranger premium,85,602,86.36,2542,338.71,1.04,0.36,0.5
18,Aviagen,Ranger premium,86,602,86.36,2724,338.71,1.04,0.36,0.5
19,Aviagen,Ranger premium,88,616,86.75,2904,358,1.04,0.36,0.5
20,Aviagen,Ranger premium,90,651,90.11,3087,377.06,1.08,0.38,0.52
21,Aviagen,Ranger premium,93,651,88.68,3178,395.59,1.06,0.37,0.51
22,Aviagen,Ranger premium,95,665,89.21,3269,414.15,1.07,0.37,0.52
23,Aviagen,Ranger premium,97,679,90.43,3450,423.27,1.09,0.38,0.52
24,Aviagen,Ranger premium,100,700,92.58,3541,432.33,2.78,0.32,0.6
25,Aviagen,Ranger premium,102,714,93.16,3632,450.16,2.79,0.33,0.61
26,Aviagen,Ranger premium,106,742,96.19,3723,459.03,2.89,0.34,0.63
27,Aviagen,Ranger premium,108,756,97.38,3814,467.85,2.92,0.34,0.63
28,Aviagen,Ranger premium,109,763,97.68,3882,476.62,2.93,0.34,0.63
29,Aviagen,Ranger premium,110,770,97.98,3905,485.33,2.94,0.34,0.64
30,Aviagen,Ranger premium,112,784,99.32,3928,491.8,2.98,0.35,0.65
31,Aviagen,Ranger premium,114,798,100.95,3951,493.99,3.03,0.35,0.66
32,Aviagen,Ranger premium,116,812,102.57,3974,496.17,3.08,0.36,0.67
33,Aviagen,Ranger premium,117,819,103.3,3997,498.35,3.1,0.36,0.67
34,Aviagen,Ranger premium,118,826,104.03,4020,500.52,3.12,0.36,0.68
35,Aviagen,Ranger premium,119,833,104.76,4043,502.69,3.14,0.37,0.68
1,Aviagen,Rowan 708,30,210,61.27,138,40.26,0.61,0.61,0.46
2,Aviagen,Rowan 708,40,280,68.15,285,69.36,0.68,0.31,0.51
3,Aviagen,Rowan 708,47,329,95.99,465,40.26,0.96,0.43,0.72
4,Aviagen,Rowan 708,50,350,85.18,663,69.36,0.85,0.38,0.64
5,Aviagen,Rowan 708,53,371,79.89,828,100.14,0.8,0.36,0.6
6,Aviagen,Rowan 708,57,399,78.63,989,130.66,0.71,0.35,0.55
7,Aviagen,Rowan 708,59,413,76.99,1132,154.36,0.69,0.35,0.54
8,Aviagen,Rowan 708,62,434,77.39,1265,176.36,0.7,0.35,0.54
9,Aviagen,Rowan 708,64,448,77.24,1389,195.16,0.7,0.35,0.54
10,Aviagen,Rowan 708,66,462,77.47,1508,212.11,0.7,0.35,0.54
11,Aviagen,Rowan 708,69,483,79.12,1628,227.52,0.71,0.36,0.55
12,Aviagen,Rowan 708,70,511,82,1748,241.99,0.74,0.37,0.57
13,Aviagen,Rowan 708,73,525,81.19,1867,270.34,0.73,0.37,0.57
14,Aviagen,Rowan 708,75,546,83.06,2106,284.03,0.75,0.37,0.58
15,Aviagen,Rowan 708,78,560,82.67,2235,310.88,0.74,0.37,0.58
16,Aviagen,Rowan 708,80,574,83.48,2369,325.06,1,0.35,0.48
17,Aviagen,Rowan 708,82,581,83.28,2507,339.57,1,0.35,0.48
18,Aviagen,Rowan 708,83,581,83.28,2650,339.57,1,0.35,0.48
19,Aviagen,Rowan 708,85,595,84.09,2792,354.3,1.01,0.35,0.49
20,Aviagen,Rowan 708,87,630,87.81,2939,369.35,1.05,0.37,0.51
21,Aviagen,Rowan 708,90,630,86.67,3078,384.09,1.04,0.36,0.5
22,Aviagen,Rowan 708,95,665,90.32,3211,399.16,1.08,0.38,0.52
23,Aviagen,Rowan 708,97,679,91.16,3340,413.24,1.09,0.38,0.53
24,Aviagen,Rowan 708,100,700,92.99,3450,426.56,2.79,0.33,0.6
25,Aviagen,Rowan 708,102,714,93.92,3551,439.35,2.82,0.33,0.61
26,Aviagen,Rowan 708,104,728,94.99,3638,450.16,2.85,0.33,0.62
27,Aviagen,Rowan 708,107,749,97.03,3708,460.01,2.91,0.34,0.63
28,Aviagen,Rowan 708,108,756,97.34,3767,468.43,2.92,0.34,0.63
29,Aviagen,Rowan 708,109,763,97.78,3806,475.18,2.93,0.34,0.64
30,Aviagen,Rowan 708,111,777,99.18,3827,480.84,2.98,0.35,0.64
31,Aviagen,Rowan 708,112,784,99.82,3847,484.56,2.99,0.35,0.65
32,Aviagen,Rowan 708,114,798,101.46,3867,486.57,3.04,0.36,0.66
33,Aviagen,Rowan 708,116,812,103.1,3887,488.47,3.09,0.36,0.67
34,Aviagen,Rowan 708,117,819,103.86,3907,490.38,3.12,0.36,0.68
35,Aviagen,Rowan 708,118,826,104.61,3927,492.28,3.14,0.37,0.68
1,Aviagen,Ranger classic,32,224,64.01,150,42.86,0.64,0.29,0.48
2,Aviagen,Ranger classic,42,294,70.07,310,73.88,0.7,0.32,0.53
3,Aviagen,Ranger classic,50,350,100.01,505,42.86,1,0.45,0.75
4,Aviagen,Ranger classic,52,364,86.75,720,73.88,0.87,0.39,0.65
5,Aviagen,Ranger classic,56,392,82.69,900,106.53,0.83,0.37,0.62
6,Aviagen,Ranger classic,64,448,86.49,1075,139,0.78,0.36,0.61
7,Aviagen,Ranger classic,67,469,85.63,1230,164.32,0.77,0.36,0.6
8,Aviagen,Ranger classic,70,490,85.57,1375,187.74,0.77,0.36,0.6
