Bahan,Berat jenis,Kerapatan tumpukan,Kerapatan pemadatan tumpukan,Sudut tumpukan,Protein kasar,Serat kasar
Bungkil inti sawit,1.313,0.53864,0.72817,34.586,12.86216,14.387621
Bungkil inti sawit,1.123,0.27824,0.4929,46.154,25.798583,11.244047
Bungkil inti sawit,1.155,0.32768,0.52363,42.41,18.995127,18.971919
Bungkil inti sawit,1.24,0.43106,0.66184,36.273,17.98161,23.930072
Bungkil kelapa,1.277,0.51022,0.67802,35.473,14.047751,9.627985
Bungkil kelapa,1.071,0.27274,0.45641,48.175,19.204623,13.539542
Bungkil kelapa,1.142,0.30943,0.49751,43.268,20.639249,18.752045
Bungkil kelapa,1.232,0.39648,0.61905,36.551,17.675439,27.532895
Pollard,1.29,0.32086,0.43351,42.32,22.321942,9.780232
Pollard,1.28,0.35067,0.52001,44.35,18.058862,7.931184
Pollard,1.12,0.33839,0.49383,41.81,20.683434,9.222116
Pollard,1.42,0.38647,0.53728,46.98,22.66408,6.476991
Dedak padi,1.29,0.35295,0.50935,40.53,13.008494,32.565936
Dedak padi,1.5,0.39409,0.52633,46.01,13.584906,23.234501
Dedak padi,1.25,0.28103,0.48415,39.8,8.257373,36.439678
Dedak padi,1.36,0.35552,0.50341,41.36,8.794509,36.304161
Jagung,1.34,0.71732,0.74388,26.11,9.517632,4.69395
Pakan jadi,0.96,0.25616,0.3264,33.52,9.432169,9.895462
Pakan jadi,0.9,0.24376,0.31524,32.78,8.911597,11.299905
Pakan jadi,0.92,0.25385,0.32135,33.36,9.164388,10.590752
Dedak padi,1.39,0.34087,0.5168,35.58,10.966584,29.423638
Dedak padi,1.27,0.32301,0.48933,34.3,12.267533,29.621331
Dedak padi,1.37,0.33888,0.51573,35.43,9.047183,37.803481
Dedak padi,1.33,0.33724,0.51371,35.04,9.229544,34.186867
Dedak padi,1.26,0.32205,0.48901,34.29,10.223027,23.921657
Dedak padi,1.3,0.32844,0.49804,34.37,10.793076,29.992081
Dedak padi,1.28,0.32521,0.4952,34.36,11.509155,27.21483
Dedak padi,1.31,0.32905,0.49908,34.89,11.734924,29.129163
Dedak padi,1.35,0.30292,0.463,36.96,13.371819,19.80443
Dedak padi,1.35,0.31843,0.46956,37.73,11.853069,19.575167
Dedak padi,1.36,0.3205,0.47244,38.12,12.943753,22.63716
Dedak padi,1.35,0.31457,0.46684,37.01,11.900595,20.884378
Dedak padi,1.28,0.28252,0.41348,36.34,12.080378,12.695035
Dedak padi,1.36,0.32633,0.47748,38.49,13.491405,16.787196
Dedak padi,1.28,0.29847,0.4271,36.4,12.925328,25.084195
Dedak padi,1.29,0.29245,0.41533,36.83,13.076923,18.601399
Dedak padi,1.36,0.3531,0.5213,40.63,12.781929,20.588768
Dedak padi,1.41,0.36177,0.53875,41.52,13.043627,20.712654
Dedak padi,1.36,0.35127,0.52038,41.9,13.028046,10.089608
Dedak padi,1.45,0.36472,0.54077,42.86,13.317145,12.297267
Dedak padi,1.21,0.27814,0.44089,44.84,14.717476,13.302575
Dedak padi,1.23,0.30783,0.45134,42.18,14.110919,10.239168
Dedak padi,1.2,0.26108,0.43532,44.38,13.98033,9.508252
Dedak padi,1.35,0.3505,0.51699,40.9,14.140224,21.257583
Dedak padi,1.35,0.33005,0.50122,43.09,13.244824,13.847234
Dedak padi,1.25,0.27543,0.43256,44.51,10.17,13.8
Dedak padi,1.23,0.23912,0.39502,43.49,9.15,16.15
Dedak padi,1.25,0.27412,0.42913,44.41,10.07,13.87
Dedak padi,1.25,0.27521,0.4322,44.44,10.12,13.89
Dedak padi,1.22,0.24206,0.39744,42.37,9.32,15.97
Dedak padi,1.23,0.28317,0.42868,43.38,12.46,10.67
Dedak padi,1.22,0.26018,0.40356,43.09,11.16,13.06
Dedak padi,1.23,0.28355,0.4258,44.12,12.05,10.48
Dedak padi,1.24,0.31884,0.46528,45.24,13.9,8.69
Dedak padi,1.24,0.30648,0.45228,44.96,13.01,9.25
Bungkil kedelai,1.66,0.61,0.8,26.33,50.417042,3.866096
Bungkil kedelai,1.46,0.48,0.5,33.22,24.188504,20.133722
Bungkil inti sawit,1.67,0.338,0.463,35.08,19.004669,29.870543
Pollard,1.25,0.303,0.403,35.84,15.153943,12.853382
Corn gluten meal,1.25,0.283,0.78,24.33,68.026506,0.652309
Bungkil kapuk,1.67,0.28,0.363,34.19,39.058824,14.095238
Dedak padi,1.36,0.28653,0.47544,44.4,10.53,15.42
Tongkol jagung,0.57,0.20619,0.26667,36.54,4.37,40.07
Gamal,0.69,0.332,0.448,35.18,20.040013,12.337446
Kaliandra,0.83,0.373,0.5,33.22,23.115079,16.644621
Lamtoro,0.88,0.338,0.463,35,19.578279,13.943997
Indigofera,0.72,0.303,0.403,35.84,28.322465,10.310322
Trikantera,0.8,0.283,0.385,35.04,24.12083,13.863841
Daun pepaya,0.92,0.368,0.477,36.68,24.302023,12.433593
Daun singkong,0.61,0.28,0.363,34.19,32.929136,12.682167
Bungkil kelapa,0.96603,0.6175,0.7425,31.51,19.309161,15.018236
Bungkil kelapa,1.0677,0.46,0.6025,37.6,17.588216,17.588216
Bungkil kedelai,1.13023,0.6225,0.7475,24.1,49.917718,6.856829
Bungkil kedelai,1.29765,0.5425,0.6975,35.18,49.700666,6.777364
Bungkil inti sawit,1.20455,0.665,0.8225,36.61,17.789072,23.178738
Bungkil inti sawit,1.15078,0.59,0.7975,42.19,16.80076,25.910675
Pakan jadi,1.6,0.49,0.55,33.9,24.167822,5.54785
Pakan jadi,1.47,0.51,0.59,34.53,24.033402,5.376344
Pakan jadi,1.47,0.51,0.56,35.07,24.69463,5.565799
Pakan jadi,1.45,0.56,0.63,31.44,23.643065,5.092696
Pakan jadi,1.32,0.56,0.64,31.46,23.502825,5.40113
Pakan jadi,1.38,0.55,0.64,31.3,23.129404,5.223129
Pakan jadi,1.37,0.72,0.76,27.77,22.202604,4.943721
Pakan jadi,1.35,0.71,0.76,27.69,22.470172,4.396818
Pakan jadi,1.37,0.68,0.74,27.7,22.22964,4.617267
Pakan jadi,1.3,0.73,0.78,26.1,21.767666,4.630278
Pakan jadi,1.36,0.72,0.87,25.51,21.470491,4.872107
Pakan jadi,1.36,0.73,0.79,25.81,20.854908,4.285557
Pakan jadi,1.16,0.493,0.699,33.2,24.333522,4.549064
Pakan jadi,1.194,0.66,0.762,20.85,22.790411,4.357567
Pakan jadi,1.18,0.629,0.688,14.94,24.627557,4.781282
